id1;id2;start1;end1;start2;end2;E
b0002;ryhB;270;282;49;60;-8.87
b0004;ryhB;185;194;55;64;-8.9
b0006;ryhB;95;103;17;26;-4.44
b0009;ryhB;232;242;1;10;-7.57
b0018;ryhB;253;260;40;47;-9.12
b4412;ryhB;196;203;40;47;-8.8
b0028;ryhB;218;224;41;47;-6.56
b0030;ryhB;214;223;5;13;-4.58
b0032;ryhB;220;231;54;65;-4.58
b0033;ryhB;175;199;44;71;-9.77
b0034;ryhB;28;34;63;69;-1.16
b0038;ryhB;53;64;50;62;-5.06
b0039;ryhB;157;163;55;61;-6
b0044;ryhB;230;255;37;61;-7.51
b0046;ryhB;279;285;54;60;-3.84
b0049;ryhB;246;253;1;8;-4.31
b0050;ryhB;227;234;24;31;-6.51
b0051;ryhB;17;26;8;17;-9.9
b0052;ryhB;65;73;37;45;-7.52
b0053;ryhB;208;214;55;61;-5.91
b4659;ryhB;244;255;37;48;-5.44
b0058;ryhB;43;63;40;60;-12.49
b0059;ryhB;34;40;42;48;-5.88
b0062;ryhB;108;114;40;46;-5.6
b0067;ryhB;42;48;20;26;-2.97
b4662;ryhB;178;189;51;61;-3.43
b0071;ryhB;7;28;40;60;-3.03
